reference_period,Local_Government_Area,CSA_Offence_Division,CSA_Offence_Subdivision,Offence_Count,LGA_ERP,Victorian_ERP
2011,nillumbik,C Drug offences,C30 Drug use and possession,51,62716,5537817
2011,nillumbik,D Public order and security offences,D10 Weapons and explosives offences,38,62716,5537817
2011,nillumbik,D Public order and security offences,D20 Disorderly and offensive conduct,45,62716,5537817
2011,nillumbik,D Public order and security offences,D30 Public nuisance offences,5,62716,5537817
2011,nillumbik,E Justice procedures offences,E10 Justice procedures,17,62716,5537817
2011,nillumbik,E Justice procedures offences,E20 Breaches of orders,134,62716,5537817
2011,nillumbik,F Other offences,F20 Transport regulation offences,2,62716,5537817
2011,nillumbik,F Other offences,F30 Other government regulatory offences,7,62716,5537817
2011,nillumbik,F Other offences,F90 Miscellaneous offences,5,62716,5537817
2011,whittlesea,A Crimes against the person,A10 Homicide and related offences,2,160800,5537817
2011,whittlesea,A Crimes against the person,A20 Assault and related offences,779,160800,5537817
2011,whittlesea,A Crimes against the person,A30 Sexual offences,141,160800,5537817
2011,whittlesea,A Crimes against the person,A40 Abduction and related offences,19,160800,5537817
2011,whittlesea,A Crimes against the person,A50 Robbery,69,160800,5537817
2011,whittlesea,A Crimes against the person,A60 Blackmail and extortion,1,160800,5537817
2011,whittlesea,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",233,160800,5537817
2011,whittlesea,A Crimes against the person,A80 Dangerous and negligent acts endangering people,106,160800,5537817
2011,whittlesea,B Property and deception offences,B10 Arson,74,160800,5537817
2011,whittlesea,B Property and deception offences,B20 Property damage,1291,160800,5537817
2011,whittlesea,B Property and deception offences,B30 Burglary/Break and enter,1524,160800,5537817
2011,whittlesea,B Property and deception offences,B40 Theft,4289,160800,5537817
2011,whittlesea,B Property and deception offences,B50 Deception,538,160800,5537817
2011,whittlesea,C Drug offences,C10 Drug dealing and trafficking,99,160800,5537817
2011,whittlesea,C Drug offences,C20 Cultivate or manufacture drugs,49,160800,5537817
2011,whittlesea,C Drug offences,C30 Drug use and possession,453,160800,5537817
2011,whittlesea,C Drug offences,C90 Other drug offences,3,160800,5537817
2011,whittlesea,D Public order and security offences,D10 Weapons and explosives offences,177,160800,5537817
2011,whittlesea,D Public order and security offences,D20 Disorderly and offensive conduct,157,160800,5537817
2011,whittlesea,D Public order and security offences,D30 Public nuisance offences,48,160800,5537817
2011,whittlesea,D Public order and security offences,D40 Public security offences,4,160800,5537817
