Education_Sector,School_Name,School_Type,Local_Government_Area
Government,Magpie Primary School,Primary,ballarat
Government,Tawonga Primary School,Primary,alpine
Government,Narracan Primary School,Primary,baw baw
Government,Drouin South Primary School,Primary,baw baw
Government,Eskdale Primary School,Primary,towong
Government,Darnum Primary School,Primary,baw baw
Government,Moorooduc Primary School,Primary,mornington peninsula
Government,The Basin Primary School,Primary,knox
Government,Tallangatta Valley Primary School,Primary,towong
Government,Paynesville Primary School,Primary,east gippsland
Government,Epsom Primary School,Primary,greater bendigo
Government,Kensington Primary School,Primary,moonee valley
Government,Hazelwood North Primary School,Primary,latrobe
Government,Mirboo North Primary School,Primary,south gippsland
Government,Yinnar Primary School,Primary,latrobe
Government,Neerim South Primary School,Primary,baw baw
Government,Ivanhoe Primary School,Primary,banyule
Government,Quambatook Group School,Primary,gannawarra
Government,Portarlington Primary School,Primary,greater geelong
Government,Menzies Creek Primary School,Primary,yarra ranges
Government,St Kilda Park Primary School,Primary,port phillip
Government,Labertouche Primary School,Primary,baw baw
Government,Diggers Rest Primary School,Primary,melton
Government,Longwarry Primary School,Primary,baw baw
Government,Gembrook Primary School,Primary,cardinia
Government,Wurruk Primary School,Primary,wellington
Government,Willow Grove Primary School,Primary,baw baw
Government,Meerlieu Primary School,Primary,wellington
Government,Hoddles Creek Primary School,Primary,yarra ranges
Government,Taggerty Primary School,Primary,murrindindi
Government,Beaconsfield Upper Primary School,Primary,cardinia
Government,Congupna Primary School,Primary,greater shepparton
Government,Redesdale Mia Mia Primary School,Primary,greater bendigo
Government,Malvern Primary School,Primary,stonnington
Government,Launching Place Primary School,Primary,yarra ranges
Government,Carlton Gardens Primary School,Primary,melbourne
Government,Ascot Vale Primary School,Primary,moonee valley
Government,Boolarra Primary School,Primary,latrobe
Government,Rosebud Primary School,Primary,mornington peninsula
Government,Koo Wee Rup Primary School,Primary,cardinia
Government,Armadale Primary School,Primary,stonnington
Government,Osborne Primary School,Primary,mornington peninsula
Government,Somerville Primary School,Primary,mornington peninsula
Government,Willaura Primary School,Primary,ararat
Government,Echuca East Primary School,Primary,campaspe
Government,Lakes Entrance Primary School,Primary,east gippsland
Government,Myrrhee Primary School,Primary,wangaratta
Government,Devon North Primary School,Primary,wellington
Government,Longwood Primary School,Primary,strathbogie
Government,Forrest Primary School,Primary,colac-otway
Government,Fairfield Primary School,Primary,darebin
Government,Nilma Primary School,Primary,baw baw
Government,Garfield Primary School,Primary,cardinia
Government,Yinnar South Primary School,Primary,latrobe
Government,Officer Primary School,Primary,cardinia
Government,Brunswick South Primary School,Primary,moreland
Government,Orbost Primary School,Primary,east gippsland
Government,Inverloch Primary School,Primary,bass coast
Government,Surrey Hills Primary School,Primary,whitehorse
Government,Montague Continuing Education Centre,Special,port phillip
Government,Strathmerton Primary School,Primary,moira
Government,Laharum Primary School,Primary,horsham
Government,Walwa Primary School,Primary,towong
